wave,column
baseline,c38_reimburse_u7_2
baseline,c16_virtual_u7_3
baseline,c16_virtual_u7_1_3
baseline,c16_virtual_u7_2_3
baseline,c16_virtual_u7_3_3
baseline,c16_virtual_u7_4_3
baseline,c16_virtual_u7_5_3
baseline,c16_virtual_u7_6_3
baseline,c16_virtual_u7_7_3
baseline,c17_virtime_u7_3
baseline,c38_reimburse_u7_3
baseline,c2_nature_u7_oth_4
baseline,c16_virtual_u7_4
baseline,c16_virtual_u7_1_4
baseline,c16_virtual_u7_2_4
baseline,c16_virtual_u7_3_4
baseline,c16_virtual_u7_4_4
baseline,c16_virtual_u7_5_4
baseline,c16_virtual_u7_6_4
baseline,c16_virtual_u7_7_4
baseline,c17_virtime_u7_4
baseline,c18_virlast_u7_3
baseline,c18_virlast_u7_4
baseline,c23_reimburse_u7_4
baseline,c30_episode_u7_4
baseline,c31_disease_u7_4
baseline,c31_disease_u7_1_4
baseline,c31_disease_u7_2_4
baseline,c31_disease_u7_3_4
baseline,c31_disease_u7_4_4
baseline,c31_disease_u7_5_4
baseline,c31_disease_u7_6_4
baseline,c31_disease_u7_7_4
baseline,c31_disease_u7_8_4
baseline,c31_disease_u7_9_4
baseline,c31_disease_u7_10_4
baseline,c31_disease_u7_11_4
baseline,c31_disease_u7_12_4
baseline,c31_disease_u7_13_4
baseline,c31_disease_u7_14_4
baseline,c31_disease_u7_15_4
baseline,c31_disease_u7_16_4
baseline,c31_disease_u7_17_4
baseline,c31_disease_u7_18_4
baseline,c31_disease_u7_19_4
baseline,c31_disease_u7_20_4
baseline,c31_disease_u7_21_4
baseline,c31_disease_u7_22_4
baseline,c31_disease_u7_23_4
baseline,c31_disease_u7_24_4
baseline,c31_disease_u7_25_4
baseline,c31_disease_u7_42_4
baseline,c31_disease_u7_41_4
baseline,c31_disease_u7_40_4
baseline,c31_disease_u7_39_4
baseline,c31_disease_u7_38_4
baseline,c31_disease_u7_37_4
baseline,c31_disease_u7_36_4
baseline,c31_disease_u7_35_4
baseline,c31_disease_u7_34_4
baseline,c31_disease_u7_33_4
baseline,c31_disease_u7_32_4
baseline,c31_disease_u7_31_4
baseline,c31_disease_u7_30_4
baseline,c31_disease_u7_29_4
baseline,c31_disease_u7_28_4
baseline,c31_disease_u7_27_4
baseline,c31_disease_u7_26_4
baseline,c32_opd_u7_4
baseline,c33_hospital_u7_4
baseline,c34_stopnormal_u7_4
baseline,c35_days_u7_4
baseline,c36_health_u7_4
baseline,c37_nonhealth_u7_4
baseline,c37b_u7_total_4
baseline,c38_reimburse_u7_4
baseline,e3f_other_4
baseline,ind_id
endline,refusal
endline,refusal_oth
endline,filteru7_lastformat_2
endline,c16_virtual_u7_3
endline,c16_virtual_u7_1_3
endline,c16_virtual_u7_2_3
endline,c16_virtual_u7_3_3
endline,c16_virtual_u7_4_3
endline,c16_virtual_u7_5_3
endline,c16_virtual_u7_6_3
endline,c16_virtual_u7_7_3
endline,c17_virtime_u7_3
endline,c18_virlast_u7_3
endline,filteru7_lastformat_3
endline,c30_episode_u7_3
endline,c31_disease_u7_3
endline,c31_disease_u7_1_3
endline,c31_disease_u7_2_3
endline,c31_disease_u7_3_3
endline,c31_disease_u7_4_3
endline,c31_disease_u7_5_3
endline,c31_disease_u7_6_3
endline,c31_disease_u7_7_3
endline,c31_disease_u7_8_3
endline,c31_disease_u7_9_3
endline,c31_disease_u7_10_3
endline,c31_disease_u7_11_3
endline,c31_disease_u7_12_3
endline,c31_disease_u7_13_3
endline,c31_disease_u7_14_3
endline,c31_disease_u7_15_3
endline,c31_disease_u7_16_3
endline,c31_disease_u7_17_3
endline,c31_disease_u7_18_3
endline,c31_disease_u7_19_3
endline,c31_disease_u7_20_3
endline,c31_disease_u7_21_3
endline,c31_disease_u7_22_3
endline,c31_disease_u7_23_3
endline,c31_disease_u7_24_3
endline,c31_disease_u7_25_3
endline,c31_disease_u7_26_3
endline,c31_disease_u7_27_3
endline,c31_disease_u7_28_3
endline,c31_disease_u7_29_3
endline,c31_disease_u7_30_3
endline,c31_disease_u7_31_3
endline,c31_disease_u7_32_3
endline,c31_disease_u7_33_3
endline,c31_disease_u7_34_3
endline,c31_disease_u7_35_3
endline,c31_disease_u7_36_3
endline,c31_disease_u7_37_3
endline,c31_disease_u7_38_3
endline,c31_disease_u7_39_3
endline,c31_disease_u7_40_3
endline,c31_disease_u7_41_3
endline,c31_disease_u7_42_3
endline,c31_disease_u7_43_3
endline,c31_disease_u7_44_3
endline,c32_opd_u7_3
endline,c33_hospital_u7_3
endline,c34_stopnormal_u7_3
endline,c35_days_u7_3
endline,c36_health_u7_3
endline,c37_nonhealth_u7_3
endline,c38_reimburse_u7_3
endline,c38_u7_live_3
endline,c16_virtual_u7_4
endline,c16_virtual_u7_1_4
endline,c16_virtual_u7_2_4
endline,c16_virtual_u7_3_4
endline,c16_virtual_u7_4_4
endline,c16_virtual_u7_5_4
endline,c16_virtual_u7_6_4
endline,c16_virtual_u7_7_4
endline,c17_virtime_u7_4
endline,c18_virlast_u7_4
endline,filteru7_lastformat_4
endline,c30_episode_u7_4
endline,c31_disease_u7_4
endline,c31_disease_u7_1_4
endline,c31_disease_u7_2_4
endline,c31_disease_u7_3_4
endline,c31_disease_u7_4_4
endline,c31_disease_u7_5_4
