wave,column
baseline,a3_sup_nm
baseline,a3_enu_nm
baseline,phonenumber_called
baseline,hhead_name
baseline,resp_name
baseline,a14_pregnm
baseline,a14_u7nm_1
baseline,a14_u7nm_2
baseline,a14_u7nm_3
baseline,a14_u7nm_4
baseline,j2_anth_ph
baseline,topup_num
endline,a3_sup_nm
endline,a2_ward_oth
endline,a3a_zone
endline,a14_pregnm
endline,a16_u7nm_1
endline,a16_u7nm_2
endline,a16_u7nm_3
endline,j2_anth_ph1
endline,j2_anth_ph2
endline,j2_anth_ph3
endline,topup_num
midline,a3_sup_nm
midline,a3_enu_nm
midline,resp_name
midline,hhead_name
midline,a14_pregnm
midline,phonenumber_called
midline,a14_u7nm_1
midline,a14_u7nm_2
midline,a14_u7nm_3
midline,a14_u7nm_4
midline,j2_anth_ph
midline,topup_num
