dataset,var,class
baseline,duration,numeric
baseline,caseid,character
baseline,uni_cluster_id,numeric
baseline,sample_order,haven_labelled/vctrs_vctr/double
baseline,group,haven_labelled/vctrs_vctr/double
baseline,consent,haven_labelled/vctrs_vctr/double
baseline,b1a_audio,haven_labelled/vctrs_vctr/double
baseline,a13_under7_final,numeric
baseline,a1_tsp,haven_labelled/vctrs_vctr/double
baseline,a2_ward,character
baseline,a3a_zone,character
baseline,a5_rs,haven_labelled/vctrs_vctr/double
baseline,a6_gender,haven_labelled/vctrs_vctr/double
baseline,a7_age,numeric
baseline,a8_employ,haven_labelled/vctrs_vctr/double
baseline,a9_edu_hh,haven_labelled/vctrs_vctr/double
baseline,a10_total,numeric
baseline,a11_adult,numeric
baseline,a13_under7_org,numeric
baseline,new_born,haven_labelled/vctrs_vctr/double
baseline,b1_0to4,numeric
baseline,b2_5to9,numeric
baseline,a12_preg,haven_labelled/vctrs_vctr/double
baseline,a14_age_preg,numeric
baseline,a14_edu_preg,haven_labelled/vctrs_vctr/double
baseline,a14_employ,haven_labelled/vctrs_vctr/double
baseline,a14_u7gender_1,haven_labelled/vctrs_vctr/double
baseline,a14_dob_1,Date
baseline,a14_u7age_yr_1,numeric
baseline,a14_u7age_mth_1,numeric
baseline,a15_u7_relation_1,haven_labelled/vctrs_vctr/double
baseline,a14_u7gender_2,haven_labelled/vctrs_vctr/double
baseline,a14_dob_2,Date
baseline,a14_u7age_yr_2,numeric
baseline,a14_u7age_mth_2,numeric
baseline,a15_u7_relation_2,haven_labelled/vctrs_vctr/double
baseline,a14_u7gender_3,haven_labelled/vctrs_vctr/double
baseline,a14_dob_3,Date
baseline,a14_u7age_yr_3,numeric
baseline,a14_u7age_mth_3,numeric
baseline,a15_u7_relation_3,haven_labelled/vctrs_vctr/double
baseline,a14_u7gender_4,haven_labelled/vctrs_vctr/double
baseline,a14_dob_4,Date
baseline,a14_u7age_yr_4,numeric
baseline,a14_u7age_mth_4,numeric
baseline,a15_u7_relation_4,haven_labelled/vctrs_vctr/double
baseline,a16_edu_u7,haven_labelled/vctrs_vctr/double
baseline,b3_electricity,character
baseline,b3_electricity_0,haven_labelled/vctrs_vctr/double
baseline,b3_electricity_1,haven_labelled/vctrs_vctr/double
baseline,b3_electricity_2,haven_labelled/vctrs_vctr/double
baseline,b3_electricity_3,haven_labelled/vctrs_vctr/double
baseline,b3_electricity_4,haven_labelled/vctrs_vctr/double
baseline,b4_water,haven_labelled/vctrs_vctr/double
baseline,b5_roof,haven_labelled/vctrs_vctr/double
baseline,b6_wall,haven_labelled/vctrs_vctr/double
baseline,b7_stove,haven_labelled/vctrs_vctr/double
baseline,b8_meat,haven_labelled/vctrs_vctr/double
baseline,c1_time_preg,numeric
baseline,c2_nature_preg,character
baseline,c2_nature_preg_1,haven_labelled/vctrs_vctr/double
baseline,c2_nature_preg_2,haven_labelled/vctrs_vctr/double
baseline,c2_nature_preg_3,haven_labelled/vctrs_vctr/double
baseline,c2_nature_preg_4,haven_labelled/vctrs_vctr/double
baseline,c2_nature_preg_5,haven_labelled/vctrs_vctr/double
baseline,c2_nature_preg_6,haven_labelled/vctrs_vctr/double
baseline,c2_nature_preg_7,haven_labelled/vctrs_vctr/double
