wave,var,label
baseline,duration,Survey Duration in minute
baseline,caseid,Respondent's ID
baseline,uni_cluster_id,Unique Street Cluster ID
baseline,sample_order,Replacement/Target
baseline,group,Treatment/Control
baseline,consent,Do you agree to participate in this study?
baseline,b1a_audio,Do you agree to allow audio recording?
baseline,a13_under7_final,A13.Final Number of under 7 children
baseline,a1_tsp,A1.Township Name
baseline,a2_ward,A2.Ward Name
baseline,a3a_zone,A3a.Industrial Zone Name
baseline,a5_rs,A5.Respondent's relationship to houshold head
baseline,a6_gender,A6.Sex of the HH head
baseline,a7_age,A7.Age of the HH head[Completed Age]
baseline,a8_employ,A8.Employment status of the HH head
baseline,a9_edu_hh,A9.Highest level of education of the HH head
baseline,a10_total,A10.Total number of members in the HH
baseline,a11_adult,"A11.Total number of adults (i.e., 18+ yrs. old) in the HH"
baseline,a13_under7_org,A13.Number of under 7 children in the sample frame
baseline,new_born,Pregnant mother just born the baby after enrollment
baseline,b1_0to4,B1.How many members are between 0-4 years of age?
baseline,b2_5to9,B2.How many members are between 5-9 years of age?
baseline,a12_preg,A12.Pregnancy status
baseline,a14_age_preg,A14.Age of Pregnant Mother
baseline,a14_edu_preg,A14.Education level of Pregnant Mother
baseline,a14_employ,A14.Employment status of Pregnant Mother
baseline,a14_u7gender_1,A14.Gender of Child (1)
baseline,a14_dob_1,A14.Birthdate of Child(1)
baseline,a14_u7age_yr_1,A14.Age of Child (1) in year
baseline,a14_u7age_mth_1,A14.Age of Child (1) in months
baseline,a15_u7_relation_1,A15.Relationship with Child (1)
baseline,a14_u7gender_2,A14.Gender of Child (2)
baseline,a14_dob_2,A14.Birthdate of Child(2)
baseline,a14_u7age_yr_2,A14.Age of Child (2) in year
baseline,a14_u7age_mth_2,A14.Age of Child (2) in months
baseline,a15_u7_relation_2,A15.Relationship with Child (2)
baseline,a14_u7gender_3,A14.Gender of Child (3)
baseline,a14_dob_3,A14.Birthdate of Child(3)
baseline,a14_u7age_yr_3,A14.Age of Child (3) in year
baseline,a14_u7age_mth_3,A14.Age of Child (3) in months
baseline,a15_u7_relation_3,A15.Relationship with Child (3)
baseline,a14_u7gender_4,A14.Gender of Child (4)
baseline,a14_dob_4,A14.Birthdate of Child(4)
baseline,a14_u7age_yr_4,A14.Age of Child (4) in year
baseline,a14_u7age_mth_4,A14.Age of Child (4) in months
baseline,a15_u7_relation_4,A15.Relationship with Child (4)
baseline,a16_edu_u7,A16.What is your Highest level of education
baseline,b3_electricity,B3.Did your household have access to any electricity in the past 12 months? [Cho
baseline,b3_electricity_0,B3_0.[No electricity at all] was the source of electricity in the past 12 months
baseline,b3_electricity_1,B3_1.[Government electricity with own meter box] was the source of electricity i
baseline,b3_electricity_2,B3_2.[Government electricity by sharing from another household] was the source o
baseline,b3_electricity_3,B3_3.[Generated electricity by paying charges for lighting] was the source of el
baseline,b3_electricity_4,B3_4.[Own generator] was the source of electricity in the past 12 months.
baseline,b4_water,B4.What is the main source of water used by the household for drinking in the WE
baseline,b5_roof,B5.What is the main construction material of the roof of the dwelling?
baseline,b6_wall,B6.What is the major construction material of the external (outer) walls of the
baseline,b7_stove,B7.Does any household member own (including ones rented to others) or have acces
baseline,b8_meat,"B9.During the past 7 days, did you or other members of your household consume ME"
baseline,c1_time_preg,C1.Time of consulting/visiting/interaction with health care providers in the las
baseline,c2_nature_preg,C2.Nature of the interactions in the last 12 months [Pregnant Mother]
baseline,c2_nature_preg_1,C2_1.[Illness/ Injury] was the nature of visit/interaction in the last 12 months
baseline,c2_nature_preg_2,C2_2.[Child immunization] was the nature of visit/interaction in the last 12 mon
baseline,c2_nature_preg_3,C2_3.[Antenatal care] was the nature of visit/interaction in the last 12 months.
baseline,c2_nature_preg_4,C2_4.[Influenza Vaccination] was the nature of visit/interaction in the last 12
baseline,c2_nature_preg_5,C2_5.[Covid 19 vaccination] was the nature of visit/interaction in the last 12 m
baseline,c2_nature_preg_6,C2_6.[Medical checkup] was the nature of visit/interaction in the last 12 months
baseline,c2_nature_preg_7,C2_7.[Receiving health education/medical advice] was the nature of visit/interac
baseline,c2_nature_preg_8,C2_8.[Newborn followup] was the nature of visit/interaction in the last 12 month
baseline,c2_nature_preg_9,C2_9.[Low birth weight] was the nature of visit/interaction in the last 12 month
baseline,c2_nature_preg_10,C2_10.[Obesity] was the nature of visit/interaction in the last 12 months.
baseline,c3_test_preg,C3.Tests/Investigations involved in the last 12 months [Pregnant Mother]
baseline,c4_hospital_preg,C4.Episodes of hospitalization in the last 12 months [Pregnant Mother]
baseline,c5_amount_preg,C5.Approximate spent on health care in the last 12 months [Pregnant Mother]
baseline,c6_selfmed_preg,C6.Approximate spent on self-prescribed medication in the last 12 months [Pregna
baseline,c7_compare_preg,C7.Health care utilizaiton after February 1 [Pregnant Mother].
baseline,c8_illyesno_preg,"C8.llness, injury, or health complaints in the last 30 days [Pregnant Mother]"
baseline,c9_insu_preg,C9.Main (government or private) health insurance covering outpatient care for si
baseline,c10_seekcare_preg,C10.Consulting/visiting/interacting with health care providers during the past 3
baseline,c11_disease_preg,C11.Disease diagnosed for the most recent interaction in the past 30 days [Pregn
baseline,c11_disease_preg_1,C11_1.[Diarrhea ] was disease diagnosed by doctor/health care provider for the r
baseline,c11_disease_preg_2,C11_2.[Dengue Hemorrhagic Fever] was disease diagnosed by doctor/health care pro
