wave,var,label
endline,duration,Duration of the survey
endline,caseid,Unique survey ID
endline,a3_enu_nm,3. Enumerator 's Name ?
endline,consent,Do you agree to participate in this study?
endline,b1a_audio,Do you agree to allow audio recording?
endline,resp_gen,What is the respondent's gender ?
endline,a1_tsp_end,A1.Are you currently living in (${tsp_name})?
endline,a1_ntsp,A1.1 Which township are you living in now ?
endline,a2_ward_end,A2.Are you currently staying in ${ward}?
endline,a8_employ,A8.Employment status of the HH head
endline,a10_total,A10.Total number of members in the HH
endline,a11_1_hh_change,"A11.1. Since November 2021, which is the last time we spoke with you, has there"
endline,a11_1_hh_change_1,A11.1 No change
endline,a11_1_hh_change_2,"A11.1 Yes, some have joined"
endline,a11_1_hh_change_3,"A11.1 Yes, some have left;"
endline,a11_2_hh_join,"A11.2. Since November 2021, how many members have joined the household after bas"
endline,a11_3_hh_left,"A11.3. Since November 2021, how many members have left the household after basel"
endline,a12_1_adult,"A12.1. Total # of adults (i.e., 18+ yrs. Old) currently residing in the HH"
endline,a13_1_preg_j,A13.1. # of pregnant woman in the HH (joined after November 2021)
endline,a13_2_preg_l,A13.2. # of pregnant woman in the HH (left after baseline)
endline,a14_1_und6_j,A14.1. # of under 7 yrs old children in the HH (joined after baseline)
endline,a14_2_und6_l,A14.2. # of under 7 yrs old children in the HH (left after baseline)
endline,b1_0to4,B1.How many members are between 0-4 years of age?
endline,b2_5to9,B2.How many members are between 5-9 years of age?
endline,a16_pregnm_1,A16.what is pregnant women's name ?
endline,a16_age_preg_1,A16.(${a16_pregnm})'s Age[Completed Age]
endline,a16_edu_preg_1,A16.(${a16_pregnm})'s Highest level of education
endline,a16_employ_1,A16.(${a16_pregnm})'s Employment status
endline,a16_employ_bl,A16.(${a16_pregnm})'s Employment status
endline,a16_u7gender_1,A16.Child number ${u7_id}: Gender of under six
endline,a16_dob_1,A16.The date of birth of ${u7_id} and name : ${a16_u7nm}
endline,a16_u7age_yr_1,a16.Child's age in Years
endline,a16_u7age_mth_1,a16.Child's age in months
endline,a16_age_u7_1,A16:Child number ${u7_id} : Age of under seven child in year
endline,a15_u7_relation_1,A15.What is your relationship with Child number  ?
endline,a16_u7gender_2,A16.Child number ${u7_id}: Gender of under six
endline,a16_dob_2,A16.The date of birth of ${u7_id} and name : ${a16_u7nm}
endline,a16_u7age_yr_2,a16.Child's age in Years
endline,a16_u7age_mth_2,a16.Child's age in months
endline,a16_age_u7_2,A16:Child number ${u7_id} : Age of under seven child in year
endline,a15_u7_relation_2,A15.What is your relationship with Child number  ?
endline,a16_u7gender_3,A16.Child number ${u7_id}: Gender of under six
endline,a16_dob_3,A16.The date of birth of ${u7_id} and name : ${a16_u7nm}
endline,a16_u7age_yr_3,a16.Child's age in Years
endline,a16_u7age_mth_3,a16.Child's age in months
endline,a16_age_u7_3,A16:Child number ${u7_id} : Age of under seven child in year
endline,a15_u7_relation_3,A15.What is your relationship with Child number  ?
endline,b3_electricity,B3.Did your household have access to any electricity in the past 12 months? [Cho
endline,b3_electricity_1,B3. Government electricity with own meter box
endline,b3_electricity_2,B3. Government electricity by sharing from another household
endline,b3_electricity_3,B3. Generated electricity by paying charges for lighting
endline,b3_electricity_4,B3. Own generator
endline,b3_electricity_5,B3. Battery
endline,b3_electricity_6,B3. Solar
endline,b3_electricity_7,B3. Candle
endline,b3_electricity_0,B3. No electricity at all
endline,b4_water,B4.What is the main source of water used by the household for drinking in the WE
endline,b5_roof,B5.What is the main construction material of the roof of the dwelling?
endline,b6_wall,B6.What is the major construction material of the external (outer) walls of the
endline,b7_stove,B7.Does any household member own (including ones rented to others) or have acces
endline,b8_meat,"B9.During the past 7 days, did you or other members of your household consume ME"
endline,c1_time_preg,"C1.In the last 12 months, approximately how many times did [${a14_pregnm}] inte"
endline,c2_nature_preg,C2.Why did have these interactions that [${preg_name}] had in the last 12 month
endline,c2_nature_preg_1,C2. Illness/ Injury
endline,c2_nature_preg_2,C2. Child immunization
endline,c2_nature_preg_3,C2. Antenatal care
endline,c2_nature_preg_4,C2. Influenza Vaccination
endline,c2_nature_preg_5,C2. Covid 19 vaccination
endline,c2_nature_preg_6,C2. Medical checkup
endline,c2_nature_preg_7,C2. Receiving health education/medical advice
endline,c2_nature_preg_8,C2. Newborn followup
endline,c2_nature_preg_9,C2. Low birth weight
endline,c2_nature_preg_10,C2. Obesity
endline,c2_nature_preg_11,C2. Child birth
endline,c3_test_preg,C3.For all healthcare interactions that [${preg_name}] had in the last 12 month
endline,c4_hospital_preg,"C4.In the last 12 months, how many times did [${preg_name}] stay overnight at a"
endline,c5_amount_preg,"C5.In the last 12 months, what was the approximate amount spent on [${preg_name"
endline,c6_selfmed_preg,C6.Although [${preg_name}] didn't visit/interact and hospitalize any time in th
endline,c7_compare_preg,"C7.Compared to November 2021, has [${preg_name}] healthcare use increased, rema"
endline,c71_compare2_preg,"C7.1. Compared to November 2021 or before, do you now spend more or less for a f"
endline,c8_illyesno_preg,"C8.During the past 30 days did [${preg_name}] suffer from any illness, injury,"
endline,c9_insu_preg,C9.What is the main (government or private) health insurance covering [NAME]'s '
endline,c10_seekcare_preg,"C10.During the past 30 days, did [${preg_name}] consult anyone or visit any hea"
endline,c11_disease_preg,"C11.For which disease (diagnosed by doctor/health care provider), [${preg_name}"
endline,c11_disease_preg_1,C11. Diarrhea
endline,c11_disease_preg_2,C11. Dengue Hemorrhagic Fever
endline,c11_disease_preg_3,C11. Fever
endline,c11_disease_preg_4,C11. Malaria
endline,c11_disease_preg_5,C11. Typhoid
endline,c11_disease_preg_6,C11. Kidney disease
endline,c11_disease_preg_7,"C11. Skin diseases (e.g., boils, lesions, etc.)"
endline,c11_disease_preg_8,C11. Cough
endline,c11_disease_preg_9,C11. Nasal congestion
endline,c11_disease_preg_10,C11. Running nose
endline,c11_disease_preg_11,C11. Influenza
endline,c11_disease_preg_12,C11. Abdominal pain
endline,c11_disease_preg_13,C11. Covid 19
endline,c11_disease_preg_14,C11. Hypertension
