wave,var,label
midline,duration_min,Survey Duration in minute
midline,caseid,Respondent's ID
midline,tsp_name,A1.Township Name
midline,a12_preg,A12.Pregnancy status at baselien survey
midline,a13_under7_baseline,A13.Number of u7 at baseline survey
midline,a13_under7_mid,A13.Number of u7 at midlineline survey
midline,consent,Do you agree to participate in this study?
midline,b1a_audio,Do you agree to allow audio recording?
midline,a1_tsp,A1.Are you currently living in (${tsp_name})?
midline,a1_state_oth,A1.State where residing currently(Midline)
midline,a1_tsp_oth,A1.Township where residing currently(Midline)
midline,a9_edu_hh,A9.Highest level of education of the HH head
midline,a12_preg_check,A12.Pregnancy status at midline survey
midline,a12_nopreg,A12.The reason for not pregnant at midline survey
midline,a14_edu_preg,A14.Education level of Pregnant Mother
midline,a14_u7age_mth_1,A14.Age of U7 children (1)
midline,a14_u7age_mth_2,A14.Age of U7 children (2)
midline,a14_u7age_mth_3,A14.Age of U7 children (3)
midline,a14_u7age_mth_4,A14.Age of U7 children (4)
midline,a16_edu_u7,A16.What is your Highest level of education
midline,a17_house,A17.Ownership status of the current household
midline,c8_illyesno_preg,"C8.llness, injury, or health complaints in the last 30 days [Pregnant Mother]"
midline,c9_insu_preg,C9.Main (government or private) health insurance covering outpatient care for si
midline,c10_seekcare_preg,C10.Consulting/visiting/interacting with health care providers during the past 3
midline,c11_disease_preg,C11.Disease diagnosed for the most recent interaction in the past 30 days [Pregn
midline,c11_disease_preg_1,C11_1.[Diarrhea ] was disease diagnosed by doctor/health care provider for the r
midline,c11_disease_preg_2,C11_2.[Dengue Hemorrhagic Fever] was disease diagnosed by doctor/health care pro
midline,c11_disease_preg_3,C11_3.[Fever] was disease diagnosed by doctor/health care provider for the recen
midline,c11_disease_preg_4,C11_4.[Malaria] was disease diagnosed by doctor/health care provider for the rec
midline,c11_disease_preg_5,C11_5.[Typhoid] was disease diagnosed by doctor/health care provider for the rec
midline,c11_disease_preg_6,C11_6.[Kidney disease] was disease diagnosed by doctor/health care provider for
midline,c11_disease_preg_7,"C11_7.[Skin diseases (e.g., boils, lesions, etc.)] was disease diagnosed by doct"
midline,c11_disease_preg_8,C11_8.[Cough] was disease diagnosed by doctor/health care provider for the recen
midline,c11_disease_preg_9,C11_9.[Nasal congestion] was disease diagnosed by doctor/health care provider fo
midline,c11_disease_preg_10,C11_10.[Running nose] was disease diagnosed by doctor/health care provider for t
midline,c11_disease_preg_11,C11_11.[Influenza] was disease diagnosed by doctor/health care provider for the
midline,c11_disease_preg_12,C11_12.[Abdominal pain] was disease diagnosed by doctor/health care provider for
midline,c11_disease_preg_13,C11_13.[Covid 19] was disease diagnosed by doctor/health care provider for the r
midline,c11_disease_preg_14,C11_14.[Hypertension] was disease diagnosed by doctor/health care provider for t
midline,c11_disease_preg_15,C11_15.[Diabetes] was disease diagnosed by doctor/health care provider for the r
midline,c11_disease_preg_16,C11_16.[Nausea and vomiting] was disease diagnosed by doctor/health care provide
midline,c11_disease_preg_17,"C11_17.[Accidents (motorbike/car accidents, etc)] was disease diagnosed by docto"
midline,c11_disease_preg_18,C11_18.[Occupational injuries or other injuries] was disease diagnosed by doctor
midline,c11_disease_preg_19,C11_19.[Oral disease] was disease diagnosed by doctor/health care provider for t
midline,c11_disease_preg_20,C11_20.[Low blood pressure/hypotension] was disease diagnosed by doctor/health c
midline,c11_disease_preg_21,"C11_21.[Complications of pregnancy (diziness, bleeding, pain,weakness)] was dise"
midline,c11_disease_preg_22,C11_22.[Heart disease] was disease diagnosed by doctor/health care provider for
midline,c11_disease_preg_23,C11_23.[Sore throat] was disease diagnosed by doctor/health care provider for th
midline,c11_disease_preg_24,C11_24.[Muscle and joint pain] was disease diagnosed by doctor/health care provi
midline,c11_disease_preg_25,C11_25.[Food poison] was disease diagnosed by doctor/health care provider for th
midline,c11_disease_preg_26,C11_26.[Gastritics] was disease diagnosed by doctor/health care provider for the
midline,c11_disease_preg_27,C11_27.[Urinary tract infection(UTI)] was disease diagnosed by doctor/health car
midline,c11_disease_preg_28,C11_28.[Neurological disorders/headache] was disease diagnosed by doctor/health
midline,c11_disease_preg_29,C11_29.[Constipation] was disease diagnosed by doctor/health care provider for t
midline,c11_disease_preg_30,C11_30.[Pneumonia/AVI/Other respiratory tract infections] was disease diagnosed
midline,c11_disease_preg_31,C11_31.[Asthema] was disease diagnosed by doctor/health care provider for the re
midline,c11_disease_preg_32,C11_32.[Intestinal worms] was disease diagnosed by doctor/health care provider f
midline,c11_disease_preg_33,C11_33.[Bone demorfimty] was disease diagnosed by doctor/health care provider fo
midline,c11_disease_preg_34,C11_34.[Indigestion] was disease diagnosed by doctor/health care provider for th
midline,c11_disease_preg_35,C11_35.[Hydrocephalus] was disease diagnosed by doctor/health care provider for
midline,c11_disease_preg_36,C11_36.[Bloating] was disease diagnosed by doctor/health care provider for the r
midline,c11_disease_preg_37,C11_37.[Ear infection] was disease diagnosed by doctor/health care provider for
midline,c11_disease_preg_38,C11_38.[Epistasis] was disease diagnosed by doctor/health care provider for the
midline,c11_disease_preg_39,C11_39.[Epilepsy/seizure] was disease diagnosed by doctor/health care provider f
midline,c11_disease_preg_40,C11_40.[Paralysis] was disease diagnosed by doctor/health care provider for the
midline,c11_disease_preg_41,C11_41.[Medical checkup/investigations] was disease diagnosed by doctor/health c
midline,c11_disease_preg_42,C11_42.[Weakness] was disease diagnosed by doctor/health care provider for the r
midline,c11_disease_preg_43,C11_43.[Back pain] was disease diagnosed by doctor/health care provider for the
midline,c11_disease_preg_44,C11_44.[Jaundice] was disease diagnosed by doctor/health care provider for the r
midline,c11_disease_preg_45,C11_45.[Eyes disease/eyes infection] was disease diagnosed by doctor/health care
midline,c11_disease_preg_48,C11_48.[Tonsilitis] was disease diagnosed by doctor/health care provider for the
midline,c11_disease_preg_47,C11_47.[Injury/dog bites] was disease diagnosed by doctor/health care provider f
midline,c11_disease_preg_46,C11_46.[Joint pain] was disease diagnosed by doctor/health care provider for the
midline,c12_diagnose_preg,C12.Diagnostic / lab tests performed [Pregnant Mother]
midline,c13_medication_preg,C13.Prescribing medications [Pregnant Mother]
midline,c14_meditake_preg,C14.Taking the medicines as prescribed [Pregnant Mother]
midline,c15_format_preg,C15.Format of seeking medical advice/treatment [Pregnant Mother]
midline,c15_format_preg_1,C15_1.[In person] was the format of health seeking in the last 30 days.
midline,c15_format_preg_2,C15_2.[Telemdicine only] was the format of health seeking in the last 30 days.
midline,c15_format_preg_3,C15_3.[Mix of inperson and telemedcicne] was the format of health seeking in the
midline,c19_pertime_preg,C19.Times in-person consultation visits in the last 30 days [Pregnant Mother]
midline,c20_personlast_preg,C20.Place of in person visist for the most recent visit in the last 30 days [Pre
midline,c21_health_preg,C21. Money spent on direct health care costs for the most recent visit [Pregnant
midline,c22_nonhealth_preg,C22.Money was spent on indirect healthcare costs for the most recent visit [Preg
midline,c22b_total,C22b.Total health care cost for primary care visits [Pregnant mother]
midline,c23_reimburse_preg,C23.Amount of money [MMK] reimbursed from main health insurance [Pregnant Mother
midline,c24_stopnormal_preg,C24.Number Days stoped normal activities because of the illness [Pregnant Mother
midline,c25_assist_preg,C25.Gov/NGO/INGO assistance for [Pregnant Mother]
midline,c25_assist_preg_0,C25_0.[None] is the orgainzation where the assistance is received currently.
midline,c25_assist_preg_1,C25_1.[Save the children] is the orgainzation where the assistance is received c
midline,c25_assist_preg_2,C25_2.[LIFT] is the orgainzation where the assistance is received currently.
midline,c25_assist_preg_3,C25_3.[MCCT] is the orgainzation where the assistance is received currently.
midline,c25_assist_preg_4,C25_4.[UNICEF] is the orgainzation where the assistance is received currently.
midline,c25_assist_preg_5,C25_5.[World Food Program (WFP)] is the orgainzation where the assistance is rec
midline,c25_assist_preg_6,C25_6.[Local charity organizations] is the orgainzation where the assistance is
midline,c25_assist_preg_7,C25_7.[TdH] is the orgainzation where the assistance is received currently.
midline,c25_assist_preg_8,C25_8.[Myat Wynn Lay Myar group] is the orgainzation where the assistance is rec
midline,c25_assist_preg_9,C25_9.[Bright Start Program] is the orgainzation where the assistance is receive
midline,c25_assist_preg_10,C25_10.[PACT Myanmar] is the orgainzation where the assistance is received curre
midline,c25_assist_preg_11,C25_11.[ICRC] is the orgainzation where the assistance is received currently.
midline,c25_assist_preg_98,C25_98.Don't know the orgainzation where the assistance is received currently.
midline,c26_nonsick_preg,C26.The reasons of visit/interact with health care providers although Pregnant M
midline,c26_nonsick_preg_1,C26_1.[Antenatal care] is the reason that Pregnant Mother visit/interact with he
midline,c26_nonsick_preg_2,C26_2.[Childbirth ] is the reason that Pregnant Mother visit/interact with healt
midline,c26_nonsick_preg_3,C26_3.[General check-up] is the reason that Pregnant Mother visit/interact with
midline,c26_nonsick_preg_4,C26_4.[Family planning] is the reason that Pregnant Mother visit/interact with h
midline,c26_nonsick_preg_5,C26_5.[Covid-19 vaccination] is the reason that Pregnant Mother visit/interact w
midline,c26_nonsick_preg_6,C26_6.[Other vaccination] is the reason that Pregnant Mother visit/interact with
midline,c26_nonsick_preg_7,C26_7.[Didn't go to heath care facillity or consult with health care provider] i
midline,c27_notconsult_preg,C27.The reasons that the [Pregnant Mother] didn't seek health care although sick
midline,c27_notconsult_preg_1,C27_1.[Not serious illness] was the reason that do not visit/interact with healt
midline,c27_notconsult_preg_2,C27_2.[Self-treated] was the reason that do not visit/interact with health care
midline,c27_notconsult_preg_3,C27_3.[No money for treatment] was the reason that do not visit/interact with he
midline,c27_notconsult_preg_4,C27_4.[Too far] was the reason that do not visit/interact with health care provi
midline,c27_notconsult_preg_5,C27_5.[Poor services] was the reason that do not visit/interact with health care
midline,c27_notconsult_preg_6,C27_6.[Not safe] was the reason that do not visit/interact with health care prov
midline,c27_notconsult_preg_7,C27_7.[Do not know can be fixed] was the reason that do not visit/interact with
midline,c27_notconsult_preg_8,C27_8.[Do not know where to go] was the reason that do not visit/interact with h
midline,c27_notconsult_preg_9,C27_9.[Too expensive] was the reason that do not visit/interact with health care
midline,c27_notconsult_preg_10,C27_10.[Too far] was the reason that do not visit/interact with health care prov
midline,c27_notconsult_preg_11,C27_11.[Could not get permission] was the reason that do not visit/interact with
midline,c27_notconsult_preg_12,C27_12.[Embarrassment] was the reason that do not visit/interact with health car
midline,c27_notconsult_preg_13,C27_13.[Problem disappeared] was the reason that do not visit/interact with heal
midline,c27_notconsult_preg_14,C27_14.[Didn’t want to go/ anxious] was the reason that do not visit/interact wi
midline,c27_notconsult_preg_15,C27_15.[Bad previous experience] was the reason that do not visit/interact with
midline,c27_notconsult_preg_16,C27_16.[Couldn’t stop working] was the reason that do not visit/interact with he
midline,c27_notconsult_preg_17,C27_17.[Had children/ other responsibilities at home] was the reason that do not
midline,c27_notconsult_preg_18,C27_18.[There were insufficient health care providers at the clinics/hospitals]
midline,c27_notconsult_preg_19,C27_19.[Doctors or health care providers didn’t allow me to come] was the reason
midline,c27_notconsult_preg_20,C27_20.[Concern about getting Covid 19] was the reason that do not visit/interac
midline,c27_notconsult_preg_21,C27_21.[Concern about transmitting Covid 19 to other people] was the reason that
midline,c27_notconsult_preg_22,C27_22.[Clinics were closed] was the reason that do not visit/interact with heal
midline,c27_notconsult_preg_23,C27_23.[Could not get appointment or appointment was cancelled or postponed (eg.
midline,c27_notconsult_preg_24,C27_24.[Lack of available transportation] was the reason that do not visit/inter
midline,c27_notconsult_preg_25,C27_25.[Clinic/ hospital had a long wait time] was the reason that do not visit/
midline,c28_inpatient_preg,C28.Hospitalization during 12 months [Pregnant Mother]
midline,c29_insu_preg,C29.Main (government or private) health insurance covering inpatient care[Pregna
midline,c30_episode_preg,C30.Episodes of hospitalization in the last 12 months [Pregnant Mother]
midline,c31_disease_preg,C31.Reasons for hospitalization for the most recent episode [Pregnant Mother]
midline,c31_disease_preg_1,C31_1.[Malaria/ fever] was the reason for hospitalization.
midline,c31_disease_preg_2,C31_2.[Diseases of Respiratory including pneumonia] was the reason for hospitali
midline,c31_disease_preg_3,C31_3.[TB] was the reason for hospitalization.
midline,c31_disease_preg_4,C31_4.[Kidney disease] was the reason for hospitalization.
midline,c31_disease_preg_5,C31_5.[Liver disease] was the reason for hospitalization.
midline,c31_disease_preg_6,C31_6.[Cardiovascular disease] was the reason for hospitalization.
midline,c31_disease_preg_7,C31_7.[Haematological disorders] was the reason for hospitalization.
midline,c31_disease_preg_8,C31_8.[Eye infections] was the reason for hospitalization.
midline,c31_disease_preg_9,C31_9.[HIV/AIDS] was the reason for hospitalization.
midline,c31_disease_preg_10,C31_10.[Diabetes] was the reason for hospitalization.
midline,c31_disease_preg_11,C31_11.[Hypertension] was the reason for hospitalization.
midline,c31_disease_preg_12,C31_12.[Diarrhea] was the reason for hospitalization.
midline,c31_disease_preg_13,C31_13.[Intestinal worms] was the reason for hospitalization.
midline,c31_disease_preg_14,C31_14.[STD (Syphilis etc)] was the reason for hospitalization.
midline,c31_disease_preg_15,C31_15.[Accidents and injuries] was the reason for hospitalization.
midline,c31_disease_preg_16,C31_16.[Gender Based Violence related injuries] was the reason for hospitalizati
midline,c31_disease_preg_17,C31_17.[Cancer] was the reason for hospitalization.
midline,c31_disease_preg_18,C31_18.[Childbirth (Normal Delivery)] was the reason for hospitalization.
midline,c31_disease_preg_19,C31_19.[Childbirth (Caesarean) ] was the reason for hospitalization.
midline,c31_disease_preg_20,C31_20.[Treatment/ surgery for reproductive health related cancers etc.] was the
midline,c31_disease_preg_21,C31_21.[Post-natal care/ delivery complications] was the reason for hospitalizat
midline,c31_disease_preg_22,C31_22.[Abortion] was the reason for hospitalization.
midline,c31_disease_preg_23,C31_23.[Covid-19] was the reason for hospitalization.
midline,c31_disease_preg_24,C31_24.[Surgery for Appendicitis] was the reason for hospitalization.
midline,c31_disease_preg_25,"C31_25.[Skin diseases (e.g., boils, lesions, etc.)] was the reason for hospitali"
midline,c31_disease_preg_26,C31_26.[Gastritics] was the reason for hospitalization.
midline,c31_disease_preg_27,C31_27.[Abnormal pregnancy/pregnancy complications/malpresentation] was the reas
midline,c31_disease_preg_28,C31_28.[Dengue Haemorrhagic Fever] was the reason for hospitalization.
midline,c31_disease_preg_29,C31_29.[Surgery for hydrocephalus] was the reason for hospitalization.
midline,c31_disease_preg_30,C31_30.[Surgery for hernia] was the reason for hospitalization.
midline,c31_disease_preg_31,C31_31.[Melena] was the reason for hospitalization.
midline,c31_disease_preg_32,C31_32.[Intussusception] was the reason for hospitalization.
midline,c31_disease_preg_33,C31_33.[Epilepsy/seizure] was the reason for hospitalization.
midline,c31_disease_preg_34,C31_34.[Fever] was the reason for hospitalization.
midline,c31_disease_preg_35,C31_35.[Drug poison/food poison] was the reason for hospitalization.
midline,c31_disease_preg_36,"C31_36.[Signs of labours (pain, rupture of membrane)] was the reason for hospita"
midline,c31_disease_preg_37,C31_37.[Jaundice] was the reason for hospitalization.
midline,c31_disease_preg_38,C31_38.[Meningitis] was the reason for hospitalization.
midline,c31_disease_preg_39,C31_39.[Constipation] was the reason for hospitalization.
midline,c31_disease_preg_40,C31_40.[Low Birth weight] was the reason for hospitalization.
midline,c31_disease_preg_41,C31_41.[The newborn could not be fed.] was the reason for hospitalization.
midline,c31_disease_preg_42,C31_42.[Cleft palate surgery] was the reason for hospitalization.
midline,c32_opd_preg,C32.Seeking outpatient/primary care before hospitalization [Pregnant Mother]
midline,c33_hospital_preg,C33.Place of hospitalization for the most recent episode [Pregnant Mother]
midline,c34_stopnormal_preg,C34.Number of days stopped for normal activities because of the hospitalization
midline,c35_days_preg,C35.Days spent in the hospital for the most recent hospitalization [Pregnant Mot
midline,c36_health_preg,C36.Amount of money[MMK] spent on direct health care costs for most recent hospi
midline,c37_nonhealth_preg,C37.Amount of money[MMK] spent on indirect health care costs for most recent hos
midline,c37b_total,C37.Total health care costs for inpatient care[Pregnant mother]
midline,c38_reimburse_preg,C38.Amount of money[MMK] reimbursed for the most recent hospitalization [Pregnan
midline,c8_illyesno_u7_1,"C8.llness, injury, or health complaints in the last 30 days [Child (1)]"
midline,c9_insu_u7_1,C9.Main (government or private) health insurance covering outpatient care for si
midline,c10_seekcare_u7_1,C10.Consulting/visiting/interacting with health care providers during the past 3
midline,c11_disease_u7_1,C11.Disease diagnosed for the most recent interaction in the past 30 days [Child
midline,c11_disease_u7_1_1,C11_1.[Diarrhea ] was disease diagnosed by doctor/health care provider for the r
midline,c11_disease_u7_2_1,C11_2.[Dengue Hemorrhagic Fever] was disease diagnosed by doctor/health care pro
midline,c11_disease_u7_3_1,C11_3.[Fever] was disease diagnosed by doctor/health care provider for the recen
midline,c11_disease_u7_4_1,C11_4.[Malaria] was disease diagnosed by doctor/health care provider for the rec
midline,c11_disease_u7_5_1,C11_5.[Typhoid] was disease diagnosed by doctor/health care provider for the rec
midline,c11_disease_u7_6_1,C11_6.[Kidney disease] was disease diagnosed by doctor/health care provider for
midline,c11_disease_u7_7_1,"C11_7.[Skin diseases (e.g., boils, lesions, etc.)] was disease diagnosed by doct"
midline,c11_disease_u7_8_1,C11_8.[Cough] was disease diagnosed by doctor/health care provider for the recen
midline,c11_disease_u7_9_1,C11_9.[Nasal congestion] was disease diagnosed by doctor/health care provider fo
midline,c11_disease_u7_10_1,C11_10.[Running nose] was disease diagnosed by doctor/health care provider for t
midline,c11_disease_u7_11_1,C11_11.[Influenza] was disease diagnosed by doctor/health care provider for the
midline,c11_disease_u7_12_1,C11_12.[Abdominal pain] was disease diagnosed by doctor/health care provider for
midline,c11_disease_u7_13_1,C11_13.[Covid 19] was disease diagnosed by doctor/health care provider for the r
midline,c11_disease_u7_14_1,C11_14.[Hypertension] was disease diagnosed by doctor/health care provider for t
midline,c11_disease_u7_15_1,C11_15.[Diabetes] was disease diagnosed by doctor/health care provider for the r
midline,c11_disease_u7_16_1,C11_16.[Nausea and vomiting] was disease diagnosed by doctor/health care provide
midline,c11_disease_u7_17_1,"C11_17.[Accidents (motorbike/car accidents, etc)] was disease diagnosed by docto"
midline,c11_disease_u7_18_1,C11_18.[Occupational injuries or other injuries] was disease diagnosed by doctor
midline,c11_disease_u7_19_1,C11_19.[Oral disease] was disease diagnosed by doctor/health care provider for t
midline,c11_disease_u7_20_1,C11_20.[Low blood pressure/hypotension] was disease diagnosed by doctor/health c
midline,c11_disease_u7_21_1,"C11_21.[Complications of pregnancy (diziness, bleeding, pain,weakness)] was dise"
midline,c11_disease_u7_22_1,C11_22.[Heart disease] was disease diagnosed by doctor/health care provider for
midline,c11_disease_u7_23_1,C11_23.[Sore throat] was disease diagnosed by doctor/health care provider for th
midline,c11_disease_u7_24_1,C11_24.[Muscle and joint pain] was disease diagnosed by doctor/health care provi
midline,c11_disease_u7_25_1,C11_25.[Food poison] was disease diagnosed by doctor/health care provider for th
midline,c11_disease_u7_26_1,C11_26.[Gastritics] was disease diagnosed by doctor/health care provider for the
midline,c11_disease_u7_27_1,C11_27.[Urinary tract infection(UTI)] was disease diagnosed by doctor/health car
