wave,var,label,type,n_missing,pct_missing,n_unique,examples
baseline,a13_under7_final,A13.Final Number of under 7 children,numeric,0,0,5,1 | 2 | 0 | 4 | 3
baseline,a13_under7_org,A13.Number of under 7 children in the sample frame,numeric,255,7.9,4,1 | 2 | 4 | 3
baseline,a14_dob_1,A14.Birthdate of Child(1),Date,230,7.2,1534,2019-10-09 | 2019-10-10 | 2018-07-15 | 2020-02-20 | 2019-12-01
baseline,a14_dob_2,A14.Birthdate of Child(2),Date,2401,74.8,636,2021-08-27 | 2018-09-04 | 2017-05-23 | 2020-12-19 | 2016-06-18
baseline,a14_dob_3,A14.Birthdate of Child(3),Date,3089,96.2,115,2020-05-04 | 2016-05-15 | 2020-10-22 | 2017-08-08 | 2021-09-13
baseline,a14_dob_4,A14.Birthdate of Child(4),Date,3202,99.8,8,2018-02-03 | 2021-09-25 | 2015-08-12 | 2014-12-01 | 2020-06-07
baseline,a14_u7age_mth_1,A14.Age of Child (1) in months,numeric,230,7.2,786,24.1000003814697 | 38.9000015258789 | 19.7999992370605 | 22.7999992370605 | 8.69999980926514
baseline,a14_u7age_mth_2,A14.Age of Child (2) in months,numeric,2401,74.8,441,1.5 | 37.2999992370605 | 53.0999984741211 | 9.69999980926514 | 64.3000030517578
baseline,a14_u7age_mth_3,A14.Age of Child (3) in months,numeric,3089,96.2,110,17.7000007629395 | 65.3000030517578 | 12.1000003814697 | 50.2000007629395 | 1.5
baseline,a14_u7age_mth_4,A14.Age of Child (4) in months,numeric,3202,99.8,8,44.5999984741211 | 1.10000002384186 | 74.4000015258789 | 82.4000015258789 | 16.6000003814697
baseline,a14_u7age_yr_1,A14.Age of Child (1) in year,numeric,230,7.2,80,2 | 3.20000004768372 | 1.60000002384186 | 1.89999997615814 | 0.699999988079071
baseline,a14_u7age_yr_2,A14.Age of Child (2) in year,numeric,2401,74.8,76,0.100000001490116 | 3.09999990463257 | 4.40000009536743 | 0.800000011920929 | 5.40000009536743
baseline,a14_u7age_yr_3,A14.Age of Child (3) in year,numeric,3089,96.2,53,1.5 | 5.40000009536743 | 1 | 4.19999980926514 | 0.100000001490116
baseline,a14_u7age_yr_4,A14.Age of Child (4) in year,numeric,3202,99.8,8,3.70000004768372 | 0.100000001490116 | 6.19999980926514 | 6.90000009536743 | 1.39999997615814
baseline,a14_u7gender_1,A14.Gender of Child (1),haven_labelled,230,7.2,2,1 | 0
baseline,a14_u7gender_2,A14.Gender of Child (2),haven_labelled,2401,74.8,2,0 | 1
baseline,a14_u7gender_3,A14.Gender of Child (3),haven_labelled,3089,96.2,2,0 | 1
baseline,a14_u7gender_4,A14.Gender of Child (4),haven_labelled,3202,99.8,2,0 | 1
baseline,a15_u7_relation_1,A15.Relationship with Child (1),haven_labelled,230,7.2,10,1 | 3 | 2 | 4 | 6
baseline,a15_u7_relation_2,A15.Relationship with Child (2),haven_labelled,2400,74.8,9,1 | 3 | 4 | 2 | 6
baseline,a15_u7_relation_3,A15.Relationship with Child (3),haven_labelled,3089,96.2,5,1 | 6 | 2 | 5 | 3
