wave,var,label,type,n_missing,pct_missing,n_unique,examples
baseline,c11_disease_preg_13,C11_13.[Covid 19] was disease diagnosed by doctor/health care provider for the r,haven_labelled,3001,93.5,1,0
baseline,c11_disease_u7_13_1,C11_13.[Covid 19] was disease diagnosed by doctor/health care provider for the r,haven_labelled,2120,66,1,0
baseline,c11_disease_u7_13_2,C11_13.[Covid 19] was disease diagnosed by doctor/health care provider for the r,haven_labelled,2932,91.3,1,0
baseline,c11_disease_u7_13_3,C11_13.[Covid 19] was disease diagnosed by doctor/health care provider for the r,haven_labelled,3169,98.7,1,0
baseline,c11_disease_u7_13_4,C11_13.[Covid 19] was disease diagnosed by doctor/health care provider for the r,haven_labelled,3207,99.9,1,0
baseline,c26_nonsick_preg_5,C26_5.[Covid-19 vaccination] is the reason that Pregnant Mother visit/interact w,haven_labelled,3075,95.8,1,0
baseline,c26_nonsick_preg_6,C26_6.[Other vaccination] is the reason that Pregnant Mother visit/interact with,haven_labelled,3075,95.8,2,0 | 1
baseline,c26_nonsick_u7_1_1,C26_1.[Under five visit with vaccination] is the reason that Under 6 children vi,haven_labelled,2192,68.3,2,0 | 1
baseline,c26_nonsick_u7_1_2,C26_1.[Under five visit with vaccination] is the reason that Under 6 children vi,haven_labelled,2909,90.6,2,0 | 1
baseline,c26_nonsick_u7_1_3,C26_1.[Under five visit with vaccination] is the reason that Under 6 children vi,haven_labelled,3165,98.6,2,0 | 1
baseline,c26_nonsick_u7_1_4,C26_1.[Under five visit with vaccination] is the reason that Under 6 children vi,haven_labelled,3207,99.9,1,0
baseline,c26_nonsick_u7_2_1,C26_2.[Under five visit without vaccination] is the reason that Under 6 children,haven_labelled,2192,68.3,2,0 | 1
baseline,c26_nonsick_u7_2_2,C26_2.[Under five visit without vaccination] is the reason that Under 6 children,haven_labelled,2909,90.6,1,0
baseline,c26_nonsick_u7_2_3,C26_2.[Under five visit without vaccination] is the reason that Under 6 children,haven_labelled,3165,98.6,1,0
baseline,c26_nonsick_u7_2_4,C26_2.[Under five visit without vaccination] is the reason that Under 6 children,haven_labelled,3207,99.9,1,0
baseline,c27_notconsult_preg_20,C27_20.[Concern about getting Covid 19] was the reason that do not visit/interac,haven_labelled,3133,97.6,2,0 | 1
baseline,c27_notconsult_preg_21,C27_21.[Concern about transmitting Covid 19 to other people] was the reason that,haven_labelled,3133,97.6,1,0
baseline,c27_notconsult_u7_20_1,C27_20.[Concern about getting Covid 19] was the reason that do not visit/interac,haven_labelled,2339,72.9,2,0 | 1
baseline,c27_notconsult_u7_20_2,C27_20.[Concern about getting Covid 19] was the reason that do not visit/interac,haven_labelled,2977,92.7,2,0 | 1
baseline,c27_notconsult_u7_20_3,C27_20.[Concern about getting Covid 19] was the reason that do not visit/interac,haven_labelled,3175,98.9,1,0
baseline,c27_notconsult_u7_20_4,C27_20.[Concern about getting Covid 19] was the reason that do not visit/interac,haven_labelled,3208,99.9,1,0
baseline,c27_notconsult_u7_21_1,C27_21.[Concern about transmitting Covid 19 to other people] was the reason that,haven_labelled,2339,72.9,2,0 | 1
baseline,c27_notconsult_u7_21_2,C27_21.[Concern about transmitting Covid 19 to other people] was the reason that,haven_labelled,2977,92.7,1,0
baseline,c27_notconsult_u7_21_3,C27_21.[Concern about transmitting Covid 19 to other people] was the reason that,haven_labelled,3175,98.9,1,0
baseline,c27_notconsult_u7_21_4,C27_21.[Concern about transmitting Covid 19 to other people] was the reason that,haven_labelled,3208,99.9,1,0
baseline,c2_nature_preg_4,C2_4.[Influenza Vaccination] was the nature of visit/interaction in the last 12,haven_labelled,2836,88.3,1,0
baseline,c2_nature_preg_5,C2_5.[Covid 19 vaccination] was the nature of visit/interaction in the last 12 m,haven_labelled,2836,88.3,1,0
baseline,c2_nature_u7_4_1,C2_4.[Influenza Vaccination] was the nature of visit/interaction in the last 12,haven_labelled,1313,40.9,2,0 | 1
baseline,c2_nature_u7_4_2,C2_4.[Influenza Vaccination] was the nature of visit/interaction in the last 12,haven_labelled,2742,85.4,1,0
baseline,c2_nature_u7_4_3,C2_4.[Influenza Vaccination] was the nature of visit/interaction in the last 12,haven_labelled,3152,98.2,1,0
baseline,c2_nature_u7_4_4,C2_4.[Influenza Vaccination] was the nature of visit/interaction in the last 12,haven_labelled,3208,99.9,1,0
baseline,c2_nature_u7_5_1,C2_5.[Covid 19 vaccination] was the nature of visit/interaction in the last 12 m,haven_labelled,1313,40.9,2,0 | 1
baseline,c2_nature_u7_5_2,C2_5.[Covid 19 vaccination] was the nature of visit/interaction in the last 12 m,haven_labelled,2742,85.4,1,0
baseline,c2_nature_u7_5_3,C2_5.[Covid 19 vaccination] was the nature of visit/interaction in the last 12 m,haven_labelled,3152,98.2,1,0
baseline,c2_nature_u7_5_4,C2_5.[Covid 19 vaccination] was the nature of visit/interaction in the last 12 m,haven_labelled,3208,99.9,1,0
baseline,c31_disease_preg_23,C31_23.[Covid-19] was the reason for hospitalization.,haven_labelled,3194,99.5,1,0
baseline,c31_disease_u7_23_1,C31_23.[Covid-19] was the reason for hospitalization..,haven_labelled,3127,97.4,1,0
baseline,c31_disease_u7_23_2,C31_23.[Covid-19] was the reason for hospitalization..,haven_labelled,3176,98.9,2,0 | 1
baseline,c31_disease_u7_23_3,C31_23.[Covid-19] was the reason for hospitalization..,haven_labelled,3209,100,1,0
baseline,d13_reason_20,D13_20.[Concern about Covid 19 transmission] was  the main reasons for choosing,haven_labelled,599,18.7,2,0 | 1
baseline,e1_vaccine_1,E1.Immunization status of Child (1),haven_labelled,259,8.1,3,1 | 2 | 98
