wave,var,label,type,n_missing,pct_missing,n_unique,examples
baseline,a12_preg,A12.Pregnancy status,haven_labelled,2788,86.9,1,1
baseline,a14_age_preg,A14.Age of Pregnant Mother,numeric,2789,86.9,28,21 | 31 | 39 | 33 | 26
baseline,a14_dob_1,A14.Birthdate of Child(1),Date,230,7.2,1534,2019-10-09 | 2019-10-10 | 2018-07-15 | 2020-02-20 | 2019-12-01
baseline,a14_dob_2,A14.Birthdate of Child(2),Date,2401,74.8,636,2021-08-27 | 2018-09-04 | 2017-05-23 | 2020-12-19 | 2016-06-18
baseline,a14_dob_3,A14.Birthdate of Child(3),Date,3089,96.2,115,2020-05-04 | 2016-05-15 | 2020-10-22 | 2017-08-08 | 2021-09-13
baseline,a14_dob_4,A14.Birthdate of Child(4),Date,3202,99.8,8,2018-02-03 | 2021-09-25 | 2015-08-12 | 2014-12-01 | 2020-06-07
baseline,a14_edu_preg,A14.Education level of Pregnant Mother,haven_labelled,2788,86.9,3,2 | 3 | 1
baseline,a14_employ,A14.Employment status of Pregnant Mother,haven_labelled,2789,86.9,4,4 | 1 | 2 | 5
baseline,c10_seekcare_preg,C10.Consulting/visiting/interacting with health care providers during the past 3,haven_labelled,2924,91.1,2,0 | 1
baseline,c11_disease_preg,C11.Disease diagnosed for the most recent interaction in the past 30 days [Pregn,character,0,0,51, | 11 | 3 9 | 25 | 3 8
baseline,c11_disease_preg_1,C11_1.[Diarrhea ] was disease diagnosed by doctor/health care provider for the r,haven_labelled,3001,93.5,1,0
baseline,c11_disease_preg_10,C11_10.[Running nose] was disease diagnosed by doctor/health care provider for t,haven_labelled,3001,93.5,2,0 | 1
baseline,c11_disease_preg_11,C11_11.[Influenza] was disease diagnosed by doctor/health care provider for the,haven_labelled,3001,93.5,2,1 | 0
baseline,c11_disease_preg_12,C11_12.[Abdominal pain] was disease diagnosed by doctor/health care provider for,haven_labelled,3001,93.5,2,0 | 1
baseline,c11_disease_preg_13,C11_13.[Covid 19] was disease diagnosed by doctor/health care provider for the r,haven_labelled,3001,93.5,1,0
