wave,var,label,type,n_missing,pct_missing,n_unique,examples
baseline,c10_seekcare_preg,C10.Consulting/visiting/interacting with health care providers during the past 3,haven_labelled,2924,91.1,2,0 | 1
baseline,c10_seekcare_u7_1,C10.Consulting/visiting/interacting with health care providers during the past 3,haven_labelled,1248,38.9,2,1 | 0
baseline,c10_seekcare_u7_2,C10.Consulting/visiting/interacting with health care providers during the past 3,haven_labelled,2699,84.1,2,0 | 1
baseline,c10_seekcare_u7_3,C10.Consulting/visiting/interacting with health care providers during the past 3,haven_labelled,3134,97.6,2,0 | 1
baseline,c10_seekcare_u7_4,C10.Consulting/visiting/interacting with health care providers during the past 3,haven_labelled,3205,99.8,2,1 | 0
baseline,c15_format_preg_2,C15_2.[Telemdicine only] was the format of health seeking in the last 30 days.,haven_labelled,3001,93.5,2,0 | 1
baseline,c15_format_preg_3,C15_3.[Mix of inperson and telemedcicne] was the format of health seeking in the,haven_labelled,3001,93.5,2,0 | 1
baseline,c15_format_u7_2_1,C15_2.[Telemdicine only] was the format of health seeking in the last 30 days.,haven_labelled,2120,66,2,0 | 1
baseline,c15_format_u7_2_2,C15_2.[Telemdicine only] was the format of health seeking in the last 30 days.,haven_labelled,2932,91.3,2,0 | 1
baseline,c15_format_u7_2_3,C15_2.[Telemdicine only] was the format of health seeking in the last 30 days.,haven_labelled,3169,98.7,1,0
baseline,c15_format_u7_2_4,C15_2.[Telemdicine only] was the format of health seeking in the last 30 days.,haven_labelled,3207,99.9,1,0
baseline,c15_format_u7_3_1,C15_3.[Mix of inperson and telemedcicne] was the format of health seeking in the,haven_labelled,2120,66,2,0 | 1
baseline,c15_format_u7_3_2,C15_3.[Mix of inperson and telemedcicne] was the format of health seeking in the,haven_labelled,2932,91.3,2,0 | 1
baseline,c15_format_u7_3_3,C15_3.[Mix of inperson and telemedcicne] was the format of health seeking in the,haven_labelled,3169,98.7,1,0
baseline,c15_format_u7_3_4,C15_3.[Mix of inperson and telemedcicne] was the format of health seeking in the,haven_labelled,3207,99.9,1,0
baseline,c16_virtual_preg,C16.Ways of telemedicine consultations in  the last 30 days [Pregnant Mother],character,0,0,2, | 4
baseline,c16_virtual_preg_1,C16_1.[Text Message] was the ways of teleconsultations used in the last 30 days.,haven_labelled,3205,99.8,1,0
baseline,c16_virtual_preg_2,C16_2.[Email] was the ways of teleconsultations used in the last 30 days.,haven_labelled,3205,99.8,1,0
baseline,c16_virtual_preg_3,"C16_3.[Messaging within a website (e.g., patient portal, viber, telegram, messen",haven_labelled,3205,99.8,1,0
baseline,c16_virtual_preg_4,C16_4.[Phone calls] was the ways of teleconsultations used in the last 30 days.,haven_labelled,3205,99.8,1,1
baseline,c16_virtual_preg_5,"C16_5.[Videoconference (e.g viber, telegram, messenger)] was the ways of telecon",haven_labelled,3205,99.8,1,0
baseline,c16_virtual_preg_6,"C16_6.[Audioconference (e.g viber, telegram, messenger)] was the ways of telecon",haven_labelled,3205,99.8,1,0
baseline,c16_virtual_preg_7,C16_7.[eVisit (when you answer questions about your health issue online and hear,haven_labelled,3205,99.8,1,0
baseline,c16_virtual_u7_1,C16.Ways of telemedicine consultations in  the last 30 days [Child (1)],character,0,0,2, | 4
baseline,c16_virtual_u7_1_1,C16_1.[Text Message] was the ways of teleconsultations used in the last 30 days.,haven_labelled,3188,99.3,1,0
baseline,c16_virtual_u7_1_2,C16_1.[Text Message] was the ways of teleconsultations used in the last 30 days.,haven_labelled,3206,99.9,1,0
baseline,c16_virtual_u7_2,C16.Ways of telemedicine consultations in  the last 30 days [Child (2)],character,0,0,2, | 4
baseline,c16_virtual_u7_2_1,C16_2.[Email] was the ways of teleconsultations used in the last 30 days.,haven_labelled,3188,99.3,1,0
baseline,c16_virtual_u7_2_2,C16_2.[Email] was the ways of teleconsultations used in the last 30 days.,haven_labelled,3206,99.9,1,0
baseline,c16_virtual_u7_3_1,"C16_3.[Messaging within a website (e.g., patient portal, viber, telegram, messen",haven_labelled,3188,99.3,1,0
