wave,name,label,type,n_missing,pct_missing,n_unique,examples
baseline,duration,Survey Duration in minute,numeric,0,0,1645,34.1833343505859 | 35.033332824707 | 54.966667175293 | 35.1333351135254 | 30.4833335876465
baseline,caseid,Respondent's ID,character,0,0,3210,10001 | 10003 | 10004 | 10005 | 10006
baseline,uni_cluster_id,Unique Street Cluster ID,numeric,0,0,108,44 | 37 | 99 | 48 | 58
baseline,sample_order,Replacement/Target,haven_labelled,0,0,5,1 | 3 | 0 | 2 | 4
baseline,group,Treatment/Control,haven_labelled,0,0,2,1 | 0
baseline,consent,Do you agree to participate in this study?,haven_labelled,0,0,1,1
baseline,b1a_audio,Do you agree to allow audio recording?,haven_labelled,0,0,2,1 | 0
baseline,a13_under7_final,A13.Final Number of under 7 children,numeric,0,0,5,1 | 2 | 0 | 4 | 3
baseline,a1_tsp,A1.Township Name,haven_labelled,0,0,2,1 | 2
baseline,a2_ward,A2.Ward Name,character,0,0,166,No (3) Ward | ကြည်းမြင့်တိုင် လမ်းသစ်လမ်း No 46 | No (20) Ward | No (5) Ward | No (9) Ward
baseline,a3a_zone,A3a.Industrial Zone Name,character,0,0,126,Na | NA | အပိုင်၁၁ | N A | Shwe lin Ban
baseline,a5_rs,A5.Respondent's relationship to houshold head,haven_labelled,0,0,10,2 | 4 | 1 | 7 | 9
baseline,a6_gender,A6.Sex of the HH head,haven_labelled,0,0,2,1 | 0
baseline,a7_age,A7.Age of the HH head[Completed Age],numeric,0,0,57,26 | 43 | 33 | 32 | 30
baseline,a8_employ,A8.Employment status of the HH head,haven_labelled,0,0,7,1 | 2 | 5 | 4 | 98
baseline,a9_edu_hh,A9.Highest level of education of the HH head,haven_labelled,0,0,5,1 | 2 | 3 | 98 | 97
baseline,a10_total,A10.Total number of members in the HH,numeric,0,0,16,3 | 7 | 5 | 4 | 6
baseline,a11_adult,"A11.Total number of adults (i.e., 18+ yrs. old) in the HH",numeric,0,0,12,2 | 3 | 4 | 6 | 5
baseline,a13_under7_org,A13.Number of under 7 children in the sample frame,numeric,255,7.9,4,1 | 2 | 4 | 3
baseline,new_born,Pregnant mother just born the baby after enrollment,haven_labelled,0,0,2,0 | 1
baseline,b1_0to4,B1.How many members are between 0-4 years of age?,numeric,0,0,5,1 | 2 | 0 | 3 | 4
baseline,b2_5to9,B2.How many members are between 5-9 years of age?,numeric,0,0,4,0 | 1 | 2 | 3
baseline,a12_preg,A12.Pregnancy status,haven_labelled,2788,86.9,1,1
baseline,a14_age_preg,A14.Age of Pregnant Mother,numeric,2789,86.9,28,21 | 31 | 39 | 33 | 26
baseline,a14_edu_preg,A14.Education level of Pregnant Mother,haven_labelled,2788,86.9,3,2 | 3 | 1
baseline,a14_employ,A14.Employment status of Pregnant Mother,haven_labelled,2789,86.9,4,4 | 1 | 2 | 5
baseline,a14_u7gender_1,A14.Gender of Child (1),haven_labelled,230,7.2,2,1 | 0
baseline,a14_dob_1,A14.Birthdate of Child(1),Date,230,7.2,1534,2019-10-09 | 2019-10-10 | 2018-07-15 | 2020-02-20 | 2019-12-01
baseline,a14_u7age_yr_1,A14.Age of Child (1) in year,numeric,230,7.2,80,2 | 3.20000004768372 | 1.60000002384186 | 1.89999997615814 | 0.699999988079071
baseline,a14_u7age_mth_1,A14.Age of Child (1) in months,numeric,230,7.2,786,24.1000003814697 | 38.9000015258789 | 19.7999992370605 | 22.7999992370605 | 8.69999980926514
baseline,a15_u7_relation_1,A15.Relationship with Child (1),haven_labelled,230,7.2,10,1 | 3 | 2 | 4 | 6
baseline,a14_u7gender_2,A14.Gender of Child (2),haven_labelled,2401,74.8,2,0 | 1
baseline,a14_dob_2,A14.Birthdate of Child(2),Date,2401,74.8,636,2021-08-27 | 2018-09-04 | 2017-05-23 | 2020-12-19 | 2016-06-18
baseline,a14_u7age_yr_2,A14.Age of Child (2) in year,numeric,2401,74.8,76,0.100000001490116 | 3.09999990463257 | 4.40000009536743 | 0.800000011920929 | 5.40000009536743
baseline,a14_u7age_mth_2,A14.Age of Child (2) in months,numeric,2401,74.8,441,1.5 | 37.2999992370605 | 53.0999984741211 | 9.69999980926514 | 64.3000030517578
baseline,a15_u7_relation_2,A15.Relationship with Child (2),haven_labelled,2400,74.8,9,1 | 3 | 4 | 2 | 6
baseline,a14_u7gender_3,A14.Gender of Child (3),haven_labelled,3089,96.2,2,0 | 1
baseline,a14_dob_3,A14.Birthdate of Child(3),Date,3089,96.2,115,2020-05-04 | 2016-05-15 | 2020-10-22 | 2017-08-08 | 2021-09-13
baseline,a14_u7age_yr_3,A14.Age of Child (3) in year,numeric,3089,96.2,53,1.5 | 5.40000009536743 | 1 | 4.19999980926514 | 0.100000001490116
