wave,var,value,value_label
endline,consent,0,No
endline,consent,1,Yes
endline,b1a_audio,0,No
endline,b1a_audio,1,Yes
endline,resp_gen,0,Female
endline,resp_gen,1,Male
endline,a1_tsp_end,0,No
endline,a1_tsp_end,1,Yes
endline,a2_ward_end,0,No
endline,a2_ward_end,1,Yes
endline,a8_employ,1,Currently employed (permanent/ partial employment)
endline,a8_employ,2,Unemployed
endline,a8_employ,3,Retired
endline,a8_employ,4,Unable to work
endline,a8_employ,5,Looking for work
endline,a8_employ,97,Prefer not to answer
endline,a8_employ,98,Don't know
endline,a11_1_hh_change_1,0,No
endline,a11_1_hh_change_1,1,Yes
endline,a11_1_hh_change_2,0,No
endline,a11_1_hh_change_2,1,Yes
endline,a11_1_hh_change_3,0,No
endline,a11_1_hh_change_3,1,Yes
endline,a16_edu_preg_1,1,None/ Monastic or religious/ Grades 1-5
endline,a16_edu_preg_1,2,Grade 6-10
endline,a16_edu_preg_1,3,"Grade 11 and above (College, Postgraduate)"
endline,a16_edu_preg_1,97,Prefer not to answer
endline,a16_edu_preg_1,98,Don't know
endline,a16_employ_1,1,Currently employed (permanent/ partial employment)
endline,a16_employ_1,2,Unemployed
endline,a16_employ_1,3,Retired
endline,a16_employ_1,4,Unable to work
endline,a16_employ_1,5,Looking for work
endline,a16_employ_1,97,Prefer not to answer
endline,a16_employ_1,98,Don't know
endline,a16_employ_bl,1,Currently employed (permanent/ partial employment)
endline,a16_employ_bl,2,Unemployed
endline,a16_employ_bl,3,Retired
endline,a16_employ_bl,4,Unable to work
endline,a16_employ_bl,5,Looking for work
endline,a16_employ_bl,97,Prefer not to answer
endline,a16_employ_bl,98,Don't know
endline,a16_u7gender_1,0,Female
endline,a16_u7gender_1,1,Male
endline,a15_u7_relation_1,1,Birthmother
endline,a15_u7_relation_1,2,Aunty
endline,a15_u7_relation_1,3,Grandmother
endline,a15_u7_relation_1,4,Adopted mother
endline,a15_u7_relation_1,5,Sister
endline,a15_u7_relation_1,6,Brother in law
endline,a15_u7_relation_1,7,father
