wave,var,value,value_label
midline,consent,0,No
midline,consent,1,Yes
midline,b1a_audio,0,No
midline,b1a_audio,1,Yes
midline,a1_tsp,0,No
midline,a1_tsp,1,Yes
midline,a1_state_oth,1,Yangon
midline,a1_state_oth,2,Ayeyarwaddy
midline,a1_state_oth,3,Bago
midline,a1_tsp_oth,1,Shwe Pyi Thar
midline,a1_tsp_oth,2,Htantapin
midline,a1_tsp_oth,3,Shwe Taung
midline,a1_tsp_oth,4,Htee Chaint
midline,a1_tsp_oth,5,Hlegu
midline,a1_tsp_oth,6,Bogale
midline,a1_tsp_oth,7,Kayan
midline,a1_tsp_oth,8,Myaungmya
midline,a1_tsp_oth,9,Hmawbi
midline,a1_tsp_oth,10,Shwe Pauk Kan
midline,a1_tsp_oth,11,Htauk Kyant
midline,a1_tsp_oth,12,Pantanaw
midline,a1_tsp_oth,13,Maubin
midline,a1_tsp_oth,14,Lapadan
midline,a9_edu_hh,1,No education
midline,a9_edu_hh,2,Religious or monastic
midline,a9_edu_hh,3,Primary (1 through 5)
midline,a9_edu_hh,4,Secondary (Grades 6-9)
midline,a9_edu_hh,5,Higher secondary (Grades 10-11)
midline,a9_edu_hh,6,College and above (>11 grade)
midline,a9_edu_hh,97,Prefer not to answer
midline,a9_edu_hh,98,Don’t know
midline,a12_preg_check,0,No
midline,a12_preg_check,1,Yes
midline,a12_nopreg,1,The child has been delivered.
midline,a12_nopreg,2,The child was miscarriaged.
midline,a12_nopreg,3,The child has been delivered and died.
midline,a12_nopreg,99,Other (Specify)
midline,a14_edu_preg,1,No education
midline,a14_edu_preg,2,Religious or monastic
midline,a14_edu_preg,3,Primary (1 through 5)
midline,a14_edu_preg,4,Secondary (Grades 6-9)
midline,a14_edu_preg,5,Higher secondary (Grades 10-11)
midline,a14_edu_preg,6,College and above (>11 grade)
midline,a14_edu_preg,97,Prefer not to answer
midline,a14_edu_preg,98,Don’t know
midline,a16_edu_u7,1,No education
midline,a16_edu_u7,2,Religious or monastic
midline,a16_edu_u7,3,Primary (1 through 5)
midline,a16_edu_u7,4,Secondary (Grades 6-9)
midline,a16_edu_u7,5,Higher secondary (Grades 10-11)
midline,a16_edu_u7,6,College and above (>11 grade)
midline,a16_edu_u7,97,Prefer not to answer
midline,a16_edu_u7,98,Don’t know
midline,a17_house,1,Owned
midline,a17_house,2,Rent
midline,a17_house,3,squatter
midline,a17_house,4,Not owned nor rent (staying in the parent's or relative's owned household withou
midline,a17_house,97,Prefer not to answer
midline,a17_house,98,Don’t know
midline,a17_house,99,Other (Specify)
midline,c8_illyesno_preg,0,No
midline,c8_illyesno_preg,1,Yes
midline,c9_insu_preg,0,No insurance
midline,c9_insu_preg,1,Social Security
midline,c9_insu_preg,2,Health Insurance through Employer
midline,c9_insu_preg,3,Other Privately Purchased Commercial Health Insurance
midline,c9_insu_preg,4,Mutual Health Organization/ Community-based Health Insurance
midline,c9_insu_preg,5,Bright Start Program
midline,c9_insu_preg,98,Don’t know
midline,c9_insu_preg,99,Other (Specify):
midline,c10_seekcare_preg,0,No
midline,c10_seekcare_preg,1,Yes
midline,c11_disease_preg_1,0,No
midline,c11_disease_preg_1,1,Yes
midline,c11_disease_preg_2,0,No
midline,c11_disease_preg_2,1,Yes
midline,c11_disease_preg_3,0,No
midline,c11_disease_preg_3,1,Yes
midline,c11_disease_preg_4,0,No
midline,c11_disease_preg_4,1,Yes
midline,c11_disease_preg_5,0,No
midline,c11_disease_preg_5,1,Yes
midline,c11_disease_preg_6,0,No
midline,c11_disease_preg_6,1,Yes
midline,c11_disease_preg_7,0,No
midline,c11_disease_preg_7,1,Yes
midline,c11_disease_preg_8,0,No
midline,c11_disease_preg_8,1,Yes
midline,c11_disease_preg_9,0,No
midline,c11_disease_preg_9,1,Yes
midline,c11_disease_preg_10,0,No
midline,c11_disease_preg_10,1,Yes
midline,c11_disease_preg_11,0,No
midline,c11_disease_preg_11,1,Yes
midline,c11_disease_preg_12,0,No
midline,c11_disease_preg_12,1,Yes
midline,c11_disease_preg_13,0,No
midline,c11_disease_preg_13,1,Yes
midline,c11_disease_preg_14,0,No
midline,c11_disease_preg_14,1,Yes
midline,c11_disease_preg_15,0,No
midline,c11_disease_preg_15,1,Yes
midline,c11_disease_preg_16,0,No
midline,c11_disease_preg_16,1,Yes
midline,c11_disease_preg_17,0,No
midline,c11_disease_preg_17,1,Yes
midline,c11_disease_preg_18,0,No
midline,c11_disease_preg_18,1,Yes
midline,c11_disease_preg_19,0,No
midline,c11_disease_preg_19,1,Yes
midline,c11_disease_preg_20,0,No
midline,c11_disease_preg_20,1,Yes
midline,c11_disease_preg_21,0,No
midline,c11_disease_preg_21,1,Yes
midline,c11_disease_preg_22,0,No
midline,c11_disease_preg_22,1,Yes
midline,c11_disease_preg_23,0,No
midline,c11_disease_preg_23,1,Yes
midline,c11_disease_preg_24,0,No
midline,c11_disease_preg_24,1,Yes
midline,c11_disease_preg_25,0,No
midline,c11_disease_preg_25,1,Yes
midline,c11_disease_preg_26,0,No
midline,c11_disease_preg_26,1,Yes
midline,c11_disease_preg_27,0,No
midline,c11_disease_preg_27,1,Yes
midline,c11_disease_preg_28,0,No
midline,c11_disease_preg_28,1,Yes
midline,c11_disease_preg_29,0,No
midline,c11_disease_preg_29,1,Yes
midline,c11_disease_preg_30,0,No
midline,c11_disease_preg_30,1,Yes
midline,c11_disease_preg_31,0,No
midline,c11_disease_preg_31,1,Yes
midline,c11_disease_preg_32,0,No
midline,c11_disease_preg_32,1,Yes
midline,c11_disease_preg_33,0,No
midline,c11_disease_preg_33,1,Yes
midline,c11_disease_preg_34,0,No
midline,c11_disease_preg_34,1,Yes
midline,c11_disease_preg_35,0,No
midline,c11_disease_preg_35,1,Yes
midline,c11_disease_preg_36,0,No
midline,c11_disease_preg_36,1,Yes
midline,c11_disease_preg_37,0,No
midline,c11_disease_preg_37,1,Yes
midline,c11_disease_preg_38,0,No
midline,c11_disease_preg_38,1,Yes
midline,c11_disease_preg_39,0,No
midline,c11_disease_preg_39,1,Yes
midline,c11_disease_preg_40,0,No
midline,c11_disease_preg_40,1,Yes
midline,c11_disease_preg_41,0,No
midline,c11_disease_preg_41,1,Yes
midline,c11_disease_preg_42,0,No
midline,c11_disease_preg_42,1,Yes
midline,c11_disease_preg_43,0,No
midline,c11_disease_preg_43,1,Yes
midline,c11_disease_preg_44,0,No
midline,c11_disease_preg_44,1,Yes
midline,c11_disease_preg_45,0,No
midline,c11_disease_preg_45,1,Yes
midline,c11_disease_preg_48,0,No
midline,c11_disease_preg_48,1,Yes
midline,c11_disease_preg_47,0,No
midline,c11_disease_preg_47,1,Yes
midline,c11_disease_preg_46,0,No
midline,c11_disease_preg_46,1,Yes
midline,c12_diagnose_preg,0,No
midline,c12_diagnose_preg,1,Yes
midline,c13_medication_preg,0,No
midline,c13_medication_preg,1,Yes
midline,c14_meditake_preg,0,No
midline,c14_meditake_preg,1,Yes
midline,c15_format_preg_1,0,No
midline,c15_format_preg_1,1,Yes
midline,c15_format_preg_2,0,No
midline,c15_format_preg_2,1,Yes
midline,c15_format_preg_3,0,No
midline,c15_format_preg_3,1,Yes
midline,c20_personlast_preg,1,Gov’t hospital
midline,c20_personlast_preg,2,Gov’t rural health center (RHC)
midline,c20_personlast_preg,3,Peri-urban Health Center
midline,c20_personlast_preg,4,Maternal and Child Health Clinic/ Hospital
midline,c20_personlast_preg,5,Family Planning Clinic
midline,c20_personlast_preg,6,Birth Center
midline,c20_personlast_preg,7,Private Hospital/ Clinic
midline,c20_personlast_preg,8,Private Doctor’s Office
midline,c20_personlast_preg,9,Traditional Medicine Hospitals
midline,c20_personlast_preg,10,Traditional Medicine Clinics
midline,c20_personlast_preg,11,Patient’s Home
midline,c20_personlast_preg,12,Provider’s home or store
midline,c20_personlast_preg,13,Charity clinics
midline,c20_personlast_preg,14,Military hospital
midline,c20_personlast_preg,15,Social Security Clinics
midline,c20_personlast_preg,16,Workers' Hospital
midline,c20_personlast_preg,17,Midwife
midline,c25_assist_preg_0,0,No
midline,c25_assist_preg_0,1,Yes
midline,c25_assist_preg_1,0,No
midline,c25_assist_preg_1,1,Yes
midline,c25_assist_preg_2,0,No
midline,c25_assist_preg_2,1,Yes
midline,c25_assist_preg_3,0,No
midline,c25_assist_preg_3,1,Yes
midline,c25_assist_preg_4,0,No
midline,c25_assist_preg_4,1,Yes
midline,c25_assist_preg_5,0,No
midline,c25_assist_preg_5,1,Yes
midline,c25_assist_preg_6,0,No
midline,c25_assist_preg_6,1,Yes
midline,c25_assist_preg_7,0,No
midline,c25_assist_preg_7,1,Yes
midline,c25_assist_preg_8,0,No
midline,c25_assist_preg_8,1,Yes
midline,c25_assist_preg_9,0,No
midline,c25_assist_preg_9,1,Yes
midline,c25_assist_preg_10,0,No
midline,c25_assist_preg_10,1,Yes
midline,c25_assist_preg_11,0,No
midline,c25_assist_preg_11,1,Yes
midline,c25_assist_preg_98,0,No
midline,c25_assist_preg_98,1,Yes
midline,c26_nonsick_preg_1,0,No
midline,c26_nonsick_preg_1,1,Yes
midline,c26_nonsick_preg_2,0,No
midline,c26_nonsick_preg_2,1,Yes
midline,c26_nonsick_preg_3,0,No
midline,c26_nonsick_preg_3,1,Yes
midline,c26_nonsick_preg_4,0,No
midline,c26_nonsick_preg_4,1,Yes
midline,c26_nonsick_preg_5,0,No
midline,c26_nonsick_preg_5,1,Yes
midline,c26_nonsick_preg_6,0,No
midline,c26_nonsick_preg_6,1,Yes
midline,c26_nonsick_preg_7,0,No
midline,c26_nonsick_preg_7,1,Yes
midline,c27_notconsult_preg_1,0,No
midline,c27_notconsult_preg_1,1,Yes
midline,c27_notconsult_preg_2,0,No
midline,c27_notconsult_preg_2,1,Yes
midline,c27_notconsult_preg_3,0,No
midline,c27_notconsult_preg_3,1,Yes
midline,c27_notconsult_preg_4,0,No
midline,c27_notconsult_preg_4,1,Yes
midline,c27_notconsult_preg_5,0,No
midline,c27_notconsult_preg_5,1,Yes
midline,c27_notconsult_preg_6,0,No
midline,c27_notconsult_preg_6,1,Yes
midline,c27_notconsult_preg_7,0,No
midline,c27_notconsult_preg_7,1,Yes
midline,c27_notconsult_preg_8,0,No
midline,c27_notconsult_preg_8,1,Yes
midline,c27_notconsult_preg_9,0,No
midline,c27_notconsult_preg_9,1,Yes
midline,c27_notconsult_preg_10,0,No
midline,c27_notconsult_preg_10,1,Yes
midline,c27_notconsult_preg_11,0,No
midline,c27_notconsult_preg_11,1,Yes
midline,c27_notconsult_preg_12,0,No
midline,c27_notconsult_preg_12,1,Yes
midline,c27_notconsult_preg_13,0,No
midline,c27_notconsult_preg_13,1,Yes
midline,c27_notconsult_preg_14,0,No
midline,c27_notconsult_preg_14,1,Yes
midline,c27_notconsult_preg_15,0,No
midline,c27_notconsult_preg_15,1,Yes
midline,c27_notconsult_preg_16,0,No
midline,c27_notconsult_preg_16,1,Yes
midline,c27_notconsult_preg_17,0,No
midline,c27_notconsult_preg_17,1,Yes
midline,c27_notconsult_preg_18,0,No
midline,c27_notconsult_preg_18,1,Yes
midline,c27_notconsult_preg_19,0,No
midline,c27_notconsult_preg_19,1,Yes
midline,c27_notconsult_preg_20,0,No
midline,c27_notconsult_preg_20,1,Yes
midline,c27_notconsult_preg_21,0,No
midline,c27_notconsult_preg_21,1,Yes
midline,c27_notconsult_preg_22,0,No
midline,c27_notconsult_preg_22,1,Yes
midline,c27_notconsult_preg_23,0,No
midline,c27_notconsult_preg_23,1,Yes
midline,c27_notconsult_preg_24,0,No
midline,c27_notconsult_preg_24,1,Yes
midline,c27_notconsult_preg_25,0,No
midline,c27_notconsult_preg_25,1,Yes
midline,c28_inpatient_preg,0,No
midline,c28_inpatient_preg,1,Yes
midline,c29_insu_preg,0,No insurance
midline,c29_insu_preg,1,Social Security
midline,c29_insu_preg,2,Health Insurance through Employer
midline,c29_insu_preg,3,Other Privately Purchased Commercial Health Insurance
midline,c29_insu_preg,4,Mutual Health Organization/ Community-based Health Insurance
midline,c29_insu_preg,5,Bright Start Program
midline,c29_insu_preg,98,Don’t know
midline,c29_insu_preg,99,Other (Specify):
midline,c31_disease_preg_1,0,No
midline,c31_disease_preg_1,1,Yes
midline,c31_disease_preg_2,0,No
midline,c31_disease_preg_2,1,Yes
midline,c31_disease_preg_3,0,No
midline,c31_disease_preg_3,1,Yes
midline,c31_disease_preg_4,0,No
midline,c31_disease_preg_4,1,Yes
midline,c31_disease_preg_5,0,No
midline,c31_disease_preg_5,1,Yes
midline,c31_disease_preg_6,0,No
midline,c31_disease_preg_6,1,Yes
midline,c31_disease_preg_7,0,No
midline,c31_disease_preg_7,1,Yes
midline,c31_disease_preg_8,0,No
midline,c31_disease_preg_8,1,Yes
midline,c31_disease_preg_9,0,No
midline,c31_disease_preg_9,1,Yes
midline,c31_disease_preg_10,0,No
midline,c31_disease_preg_10,1,Yes
midline,c31_disease_preg_11,0,No
