wave,var,label,class,n_missing,pct_missing,n_unique,examples
baseline,a10_total,A10.Total number of members in the HH,numeric,0,0,16,3 | 7 | 5 | 4 | 6
baseline,a11_adult,"A11.Total number of adults (i.e., 18+ yrs. old) in the HH",numeric,0,0,12,2 | 3 | 4 | 6 | 5
baseline,a13_under7_final,A13.Final Number of under 7 children,numeric,0,0,5,1 | 2 | 0 | 4 | 3
baseline,a13_under7_org,A13.Number of under 7 children in the sample frame,numeric,255,7.9,4,1 | 2 | 4 | 3
baseline,a14_employ,A14.Employment status of Pregnant Mother,haven_labelled,2789,86.9,4,4 | 1 | 2 | 5
baseline,a1_tsp,A1.Township Name,haven_labelled,0,0,2,1 | 2
baseline,a2_ward,A2.Ward Name,character,0,0,166,No (3) Ward | ကြည်းမြင့်တိုင် လမ်းသစ်လမ်း No 46 | No (20) Ward | No (5) Ward | No (9) Ward
baseline,a3a_zone,A3a.Industrial Zone Name,character,0,0,126,Na | NA | အပိုင်၁၁ | N A | Shwe lin Ban
baseline,a5_rs,A5.Respondent's relationship to houshold head,haven_labelled,0,0,10,2 | 4 | 1 | 7 | 9
baseline,a6_gender,A6.Sex of the HH head,haven_labelled,0,0,2,1 | 0
baseline,a7_age,A7.Age of the HH head[Completed Age],numeric,0,0,57,26 | 43 | 33 | 32 | 30
baseline,a8_employ,A8.Employment status of the HH head,haven_labelled,0,0,7,1 | 2 | 5 | 4 | 98
baseline,a9_edu_hh,A9.Highest level of education of the HH head,haven_labelled,0,0,5,1 | 2 | 3 | 98 | 97
baseline,b1a_audio,Do you agree to allow audio recording?,haven_labelled,0,0,2,1 | 0
baseline,b4_water,B4.What is the main source of water used by the household for drinking in the WE,haven_labelled,0,0,11,9 | 3 | 12 | 1 | 5
baseline,b5_roof,B5.What is the main construction material of the roof of the dwelling?,haven_labelled,0,0,10,6 | 4 | 7 | 8 | 9
baseline,b6_wall,B6.What is the major construction material of the external (outer) walls of the,haven_labelled,0,0,9,5 | 10 | 9 | 6 | 7
baseline,b7_stove,B7.Does any household member own (including ones rented to others) or have acces,haven_labelled,0,0,2,1 | 0
baseline,b8_meat,"B9.During the past 7 days, did you or other members of your household consume ME",haven_labelled,0,0,2,1 | 0
baseline,c22b_total,C22b.Total health care cost for primary care visits [Pregnant mother],numeric,3001,93.5,66,17000 | 7000 | 11500 | 8000 | 100000
